POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
1,DISC JUNGLE PLANE WOW,000010010131,Pierre Belvedere,10131,29.99
2,DISC FIREBALL FRANKIE WOW,000010010154,Pierre Belvedere,10154,19.99
3,DISC DYNAMITE DAISY WOW,000010010161,Pierre Belvedere,10161,19.99
4,DISC DANNYS DIVING ADVEN WOW,000010040106,Pierre Belvedere,40106,29.99
5,SAXOFLUTE,000010041703,Pierre Belvedere,41703,12.99
6,DUDLEY DUMP TRUCK WOW disc,000010050709,Pierre Belvedere,50709,59.99
7,DISC KNIGHTS 24 PC FLOOR PZ,000010053292,Pierre Belvedere,53292,16.99
8,HOP 45 FANTASY,000010080406,Pierre Belvedere,80406,38.99
9,HOP 45 YELLOW,000010080451,Pierre Belvedere,80451,38.99
10,HOP 55 RED,000010080550,Pierre Belvedere,80550,34.99
11,HOP 66 SKY BLUE,000010080660,Pierre Belvedere,80660,47.99
12,DISC IN THE GALAXY 60 PC PZ,000010095117,Pierre Belvedere,95117,12.99
1347,BANANAGRAMS,400100120507,Bananagrams,1000,19.99
1348,DUPLO BULK SET,20570201449863,"Lego Systems, Inc.",779027,74.99
1349,DUPLO BUILDING PLATES,000418779071,"Lego Systems, Inc.",779071,44.99
1350,WILD ANIMALS SET DISC,000418779214,"Lego Systems, Inc.",779214,129.99
1351,DUPLO WORLD PEOPLE SET,000418779222,"Lego Systems, Inc.",779222,59.99
1352,DUPLO COMMUNITY PEOPLE SET,000418779224,"Lego Systems, Inc.",779224,64.99
1353,LEGO LARGE BUILDING PLATES SET,000418779286,"Lego Systems, Inc.",779286,54.99
1398,GREECE BORDER disc,000004250630,EDUPRESS,EP630,4.99
1399,QUICK FLIP QUESTIONS FOR READI,000004250725,EDUPRESS,EP725,4.99
1400,RACE TO READ RED LEVEL GAME,000042514222,EDUPRESS,LRN222,27.99
1401,RACE TO READ BLUE LEVEL GAME,000042514223,EDUPRESS,LRN223,27.99
1402,MATH DASH ADD/SUBT GAME,000425142348,EDUPRESS,LRN2348,27.99
1403,MATH DASH MULT/DIV GAME,000425142349,EDUPRESS,LRN2349,27.99
1404,SEQUENCE BUILDER RED LEVEL GAM,000042514333,EDUPRESS,LRN333,27.99
1405,SEQUENCE BUILDER BLUE LEVEL GA,000042514334,EDUPRESS,LRN334,27.99
1406,FROGGY PHONICS BEG & END CONSO,000042514350,EDUPRESS,LRN350,27.99
1407,FROGGY PHONICS DIGRAPHS & DIPT,000042514351,EDUPRESS,LRN351,27.99
1408,HANDWRITING PARTNER - TRADITIO,000004252025,EDUPRESS,EP2025,3.99
1409,WRITING WIZARDS INCENTIVE CHAR,000004252128,EDUPRESS,EP2128,2.99
1410,TOP NOTCH THINKERS INCENTIVE C,000004252130,EDUPRESS,ED2130,2.99
