POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
10345,Fire Power,,Aeromax,0698216103457,12.99
10613,Space Pack,,Aeromax,0698216106137,15.99
1497,Musical Gator,,Alex,0731346149718,32.99
6328,123 Tub Stkrs,,Alex,0731346063281,7.99
6318,ABC Tub Stkrs,,Alex,0731346063182,7.99
6391,Bathtub Crayons,,Alex,0731346063915,4.99
6338,Beach Tub Stkrs,,Alex,0731346063380,7.99
804,beep-beep stickers for tub,,Alex,0731346080486,13.99
695,bugs in the tub,,Alex,0731346069511,13.99
8721,Camping in the Tub,,Alex,0731346087218,12.99
803,City Stickers for the Tub,,Alex,0731346080318,13.99
6982,Construction Squirters,,Alex,0731346069825,12.49
888,dirty cars,,Alex,0731346088819,13.99
8571,dirty dishes #857w,,Alex,0731346085719,15.99
825,dirty dogs,,Alex,0731346082534,12.99
884,diving monster,,Alex,0731346088406,7.99
6390,Draw in the Tub,,Alex,0731346063908,6.99
6358,Farm Tub Stkrs,,Alex,0731346063588,7.99
8060,Fashion in the Tub,,Alex,0731346080608,15.99
807,fishing in the tub,,Alex,0731346080707,13.99
694,hoops for the tub,,Alex,0731346069405,11.99
855,Laundry Day,,Alex,0731346085504,15.99
8850,Noahs Ark,,Alex,0731346088505,14.99
6348,Pals Tub Stkrs,,Alex,0731346063489,7.99
8254,piggy pigs #825PN,,Alex,0731346082541,12.99
699,pirate squirters,,Alex,0731346069924,13.99
8130,Pirates of the Tub,,Alex,0731346081308,23.99
8091,Tub Island--Racing Around,,Alex,0731346080912,24.99
4010,water drums,,Alex,0731346401007,17.99
124,friendship bracelet,,Alex,0731346012432,14.99
148600,string & beep,,Alex,0731346148636,14.99
14862,string a farm,,Alex,0731346148629,14.99
1487,string my ABCs,,Alex,0731346148704,19.99
1542,tie dye tote  #154T,,Alex,0731346015426,19.99
18960,Very Merry Ornaments,,Alex,0731346018960,10.99
1915,Busy Bug Rattle,,Alex,0731346191519,6.99
1977,Cuddly Cube,,Alex,0731346197702,18.99
1918,Loopy Loo,,Alex,0731346191816,11.99
1997,rolling busy bus,,Alex,0731346199713,35.99
1949,Stretchy Puppy,,Alex,0731346194909,24.99
969,bubbling lava lamp,,Alex,0731346096906,12.99
13150,kids scoop rocker seat,,American Plastic Toys,0025217131507,9.99
11550,My very own grill,,American Plastic Toys,0025217115507,29.99
16400,sand & water play set,,American Plastic Toys,0025217016408,21.99
8600,sky & sea plane,,American Plastic Toys,0025217086005,4.99
20030,vacuum set,,American Plastic Toys,0025217200302,15.99
30331,Appletters,,Bananagrams,0094922230331,12.99
1159,Bananagrams,,Bananagrams,0856739001159,15.49
30348,Pears in Pairs,,Bananagrams,0094922230348,12.99
16131,Diary of a Real Payne,,Barbour Publishing,9781624161315,5.99
5706,Doodle Quest,,Blue Orange USA,0803979005706,24.99
2705,Pengoloo,,Blue Orange USA,0803979002705,24.99
43030,Pixy Cubes,,Blue Orange USA,0803979004303,15.99
410,spot it,,Blue Orange USA,0803979004105,12.99
414,spot it jr animals,,Blue Orange USA,0803979004143,9.99
416,spot it on the road,,Blue Orange USA,0803979004167,12.99
520,Spot it--Alphabet,,Blue Orange USA,0803979005201,9.99
521,Spot it--Numbers & Shapes,,Blue Orange USA,0803979005218,9.99
461,tell tale,,Blue Orange USA,0803979004617,12.99
18003,3in1 earth defender,,BRMB inc,0697306180033,11.99
11804,3in1 farm,,BRMB inc,0697306118043,19.99
18001,3in1 justice,,BRMB inc,0697306180019,11.99
17015,3in1 space warrior,,BRMB inc,0697306170157,21.99
21302,911 fireman jeep,,BRMB inc,0697306213021,5.99
15706,airforce attack helicopter,,BRMB inc,0697306157066,16.99
11506,airport,,BRMB inc,0697306115066,94.99
15711,apache helicopter,,BRMB inc,0697306157110,47.99
25005,army bazooka tank,,BRMB inc,0697306250057,18.99
25708,army double rotor helicopter,,BRMB inc,0697306257087,28.99
25002,army jeep,,BRMB inc,0697306250026,7.99
25001,army moto & gate,,BRMB inc,0697306250019,6.99
15707,army sonic fighter,,BRMB inc,0697306157073,16.99
25007,army t80u tank,,BRMB inc,0697306250071,21.99
19003,base plates,,BRMB inc,0697306190032,7.99
22009,birthday party,,BRMB inc,0697306220098,13.99
22008,bus stop,,BRMB inc,0697306220081,11.99
16502,citadel,,BRMB inc,0697306165023,49.99
14005,construction site,,BRMB inc,0697306140051,39.99
14008,container truck,,BRMB inc,0697306140082,19.99
14004,crane w truck,,BRMB inc,0697306140044,27.99
15018,desert base with tank,,BRMB inc,0697306150180,79.99
14006,dump truck,,BRMB inc,0697306140068,12.99
14007,excavator,,BRMB inc,0697306140075,15.99
21802,farm horse feeder,,BRMB inc,0697306218026,7.99
15713,fighter plane,,BRMB inc,0697306157134,48.99
11308,fire engine,,BRMB inc,0697306113086,23.99
