POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price,,,,,,
3,Green Bag,,(Store Name),Bag,5,,,,,,
9,Mommy & Baby Bear I Love Hangi,,Gund,320754,19.99,,,,,,
14,Misc Shipping,,(Store Name),shpng,14.99,,,,,,
37,Donkey It's a Kick!,,Cleveland Kids LLC,2112,29.99,,,,,,
40,Anomia Card Game,,Everest Toys,ANOMIA,17.99,,,,,,
62,Big Monkey T-Shirt,,(Store Name),YEL-Y/XS,15,,,,,,
63,Black Logo T-Shirt,,(Store Name),BL-Y/XS,15,,,,,,
64,Tin Tamborine,19649231072,"Schylling Associates, Inc.",TTB,7.99,,,,,,
67,Tin Maracas,19649228775,"Schylling Associates, Inc.",TMAR,9.99,,,,,,
69,Medical Case,19649232321,"Schylling Associates, Inc.",MDC,17.99,,,,,,
70,Super Hero Accessories,5.06027E+12,"Schylling Associates, Inc.",LT056,9.99,,,,,,
72,Forest Nursery Giftset,20373215634,"International Playthings, Inc.",CC1563,89.99,,,,,,
73,Happy Fish Magneto Puzzle,3.70022E+12,Juratoys (JANOD),J08181,14.99,,,,,,
74,Happy Garden Magneto Puzzle,3.70022E+12,Juratoys (JANOD),J08182,14.99,,,,,,
75,Catsy Kitty,7.19771E+11,Mary Meyer Corporation,37620,6.99,,,,,,
76,Giraffe Baby Mat,7.19771E+11,Mary Meyer Corporation,2531,49.99,,,,,,
77,Lamb Baby Mat,7.19771E+11,Mary Meyer Corporation,2552,49.99,,,,,,
110,LED Illuminated Globe,7.69188E+11,"Elenco Electronics, Inc.",EDU-2837,59.99,,,,,,
119,FM Radio Snap Circuits,,"Elenco Electronics, Inc.",SCP-12,24.99,,,,,,
121,Cartwheeling MonkeyTee,,,Cartwheeling MonkeyTee,12,,,,,,
126,Flying Saucer Plus Snap Circui,,"Elenco Electronics, Inc.",SCP-09,19.99,,,,,,
130,Black Logo T-Shirt,,(Store Name),BL-Y6/8,15,,,,,,
131,Black Logo T-Shirt,,(Store Name),BL-Y2/4,15,,,,,,
132,Black Logo T-Shirt,,(Store Name),BL-Y14/16,15,,,,,,
133,Black Logo T-Shirt,,(Store Name),BL-Y10/12,15,,,,,,
134,Black Logo T-Shirt,,(Store Name),BL-AL,15,,,,,,
135,Black Logo T-Shirt,,(Store Name),BL-AM,15,,,,,,
136,Black Logo T-Shirt,,(Store Name),BL-AS,15,,,,,,
137,Black Logo T-Shirt,,(Store Name),BL-AXL,15,,,,,,
147,Umbrella Stroller,7.14116E+11,Castle Toy,12541,19.99,,,,,,
148,Umbrella Stroller,7.14116E+11,Castle Toy,12544,19.99,,,,,,
170,Candy Land Classic Edition,,Winning Moves,1189,15.99,,,,,,
184,Magenta Princess Cloak,7.71878E+11,Creative Education of Canada,50905,29.99,,,,,,
185,Panda,7.19772E+11,Mary Meyer Corporation,52360,24.99,,,,,,
194,Pirate Backpack Gift Set,8.47942E+11,Little Adventures,26019,19.99,,,,,,
202,Ballerina Backpack Gift Set,8.47942E+11,Little Adventures,26026,19.99,,,,,,
203,Superhero Backpack Gift Set,8.47942E+11,Little Adventures,26017,19.99,,,,,,
207,FireTek Light Up Rocket,8983848992,"Zing Toys, Inc.",ZB599,19.99,,,,,,
212,Charge & Glo LED iPhone Cable,8.19401E+11,Decor Craft Inc. - DCI,47855,12.99,,,,,,
214,Funkyfonic Headphones,8.19401E+11,Decor Craft Inc. - DCI,49606,39.99,,,,,,
221,Funkyfonic Headphones,8.19401E+11,Decor Craft Inc. - DCI,48975,39.99,,,,,,
232,Funkyfonic Headphones,8.19401E+11,Decor Craft Inc. - DCI,48968,39.99,,,,,,
233,The Polar Express,9.7804E+12,Houghton Mifflin Co.,9.7804E+12,18.95,,,,,,
258,Clark the Shark,9.78006E+12,HARPER COLLINS PUBLISHERS,9.78006E+12,17.99,,,,,,
265,Cardboard Box Book,9.78031E+12,Macmillan,9.78031E+12,12.99,,,,,,
266,Tyrannosaurus Wrecks!,9.78142E+12,Abrams,9.78142E+12,14.95,,,,,,
271,Mermaid Island Game,6.43356E+11,Peacable Kingdom Press,GM107,15.99,,,,,,
274,In My Heart,9.78142E+12,Abrams,9.78142E+12,16.95,,,,,,
275,Frank Einstein:Antimatter Moto,9.78142E+12,Abrams,9.78142E+12,13.95,,,,,,
277,Last King of Angkor Wat,9.78142E+12,Abrams,9.78142E+12,17.95,,,,,,
282,Here Is The World:Jewish Holid,9.78142E+12,Abrams,9.78142E+12,18.95,,,,,,
285,Big Monkey T-Shirt,,(Store Name),Yel-Y2/4,15,,,,,,
286,100 Things That Make Me Happy,9.78142E+12,Abrams,9.78142E+12,16.95,,,,,,
287,Grinch's Great Big Flap Book,9.78039E+12,"Random House, Inc.",9.78039E+12,12.99,,,,,,
288,Christmas Wish,9.78045E+12,"Random House, Inc.",9.78045E+12,17.99,,,,,,
289,Big Monkey T-Shirt,,(Store Name),Yel-Y6/8,15,,,,,,
290,Big Monkey T-Shirt,,(Store Name),Yel-Y10/12,15,,,,,,
291,Black Rabbit,9.78076E+12,"Random House, Inc.",9.78076E+12,13.99,,,,,,
294,Big Monkey T-Shirt,,(Store Name),Yel-Y14/16,15,,,,,,
295,Potholder PRO Loops Refill,,Harrisville Designs Inc.,F555M,14.99,,,,,,
300,Big Monkey T-Shirt,,(Store Name),Yel-AS,15,,,,,,
307,Big Monkey T-Shirt,,(Store Name),Yel-AM,15,,,,,,
309,Big Monkey T-Shirt,,(Store Name),Yel-AL,15,,,,,,
310,Big Monkey T-Shirt,,(Store Name),Yel-AXL,15,,,,,,
313,Black Beauty,9.78038E+12,"Random House, Inc.",9.78038E+12,16.99,,,,,,
323,Love and Kisses,9.78076E+12,"Random House, Inc.",9.78076E+12,6.99,,,,,,
324,Bear Hug,9.78076E+12,"Random House, Inc.",9.78076E+12,15.99,,,,,,
326,Sam & Dave Dig a Hole,9.78076E+12,"Random House, Inc.",9.78076E+12,16.99,,,,,,
330,This Is The World,9.78085E+12,"Random House, Inc.",9.78085E+12,35,,,,,,
335,Wonder,9.78038E+12,"Random House, Inc.",9.78038E+12,16.99,,,,,,
336,A Library Book for Bear,9.78076E+12,"Random House, Inc.",9.78076E+12,16.99,,,,,,
337,Flashlight,9.78145E+12,Hachette Book Group - Chronicle Books,9.78145E+12,16.99,,,,,,
338,Ivy & Bean 10:Take the Case,9.78145E+12,Hachette Book Group - Chronicle Books,9.78145E+12,5.99,,,,,,
340,Bear's Sea Escape,9.78145E+12,Hachette Book Group - Chronicle Books,9.78145E+12,17.99,,,,,,
345,Bear on Bicycle Pastels,6.89197E+11,eeBoo,PASBIK,8.99,,,,,,
349,Frozen Ultimate Sticker Book,9.78147E+12,Penguin Group,9.78147E+12,6.99,,,,,,
353,Star Wars The Dark Side,9.78147E+12,Penguin Group,9.78147E+12,16.99,,,,,,
361,Baby Night-Night,9.78076E+12,Artisan/Workman Publishing,9.78076E+12,5.95,,,,,,
366,Bunny Ring Rattle,,Apple Park,TM287,17.99,,,,,,
369,Baby Peekaboo,9.78076E+12,Artisan/Workman Publishing,9.78076E+12,5.95,,,,,,
377,Classic Bedtime Stories,9.78087E+12,Artisan/Workman Publishing,9.78087E+12,19.95,,,,,,
378,"Big Magic, Little Hands",9.78076E+12,Artisan/Workman Publishing,9.78076E+12,19.95,,,,,,
379,Bunny Mint Medium,,"Jellycat, Inc.",BAS3BM,19.99,,,,,,
380,Meerkat Mail,9.78142E+12,Simon & Schuster,9.78142E+12,17.99,,,,,,
385,Little Mermaid,9.78142E+12,Simon & Schuster,9.78142E+12,29.99,,,,,,
386,Locomotive,9.78142E+12,Simon & Schuster,9.78142E+12,17.99,,,,,,
393,Mousetronaut,9.78144E+12,Simon & Schuster,9.78144E+12,17.99,,,,,,
