POS Item Number,POS Item Name,POS UPC,Mfg Name
00234,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
23231,"MON PREMIER BEBE CALIN CHARMING PASTEL  12""",3144942232314,COROLLE
44200,"MON CLASSIQUE 14"" DOLL SOCKS",3144942442003,COROLLE
bgp44,MON PREMIER BEBE CALIN CUDDLE,746775327200,COROLLE
bmd56,MON BEBE CALIN MARIA,746775378660,COROLLE
bmd57,BEBE CALIN PARIS PARTY,746775378677,COROLLE
h6384,CAMILLE BALLERINA,27084251258,COROLLE
k7099,"CHLOE' BALLERINA 13""",27084436129,COROLLE
m2196,"MISS COROLLE 14"" BALLERINA SET",27084568387,COROLLE
p5119,MISS COROLLE HAIRSTYLING & MAKEUP HEAD,27084745467,COROLLE
r7289,FEEDING BOTTLE & BIB SET,27084845204,COROLLE
r7290,DIAPERS (3),27084845211,COROLLE
r7292,POTTY SET,27084845235,COROLLE
t2820,MON CLASSIQUE CRADLE,27084888270,COROLLE
t4556,PAUL DRINK AND WET BATH BABY,27084905472,COROLLE
t4558,"MON CLASSIQUE 14"" BABY DOLL SHOES",27084905496,COROLLE
v7943,"NIGHTTTIME SET 14"" *D",746775003548,COROLLE
v9070,MON PREMIER BEBE CALIN SKY,746775014247,COROLLE
v9074,"MON BEBE CLASSIQUE PINK 14"" DOLL",746775014285,COROLLE
v9534,MON PREMIER MEALTIME SET,746775018122,COROLLE
v9932,MON BEBE CLASSIQUE BLONDETTE,746775022075,COROLLE
v9933,MON BEBE CLASSIQUE BRUNETTE,746775022082,COROLLE
w0102,MON PREMIER LARGE ACCESSORY SET,746775023492,COROLLE
w0352,MON PREMIER DOCTOR SET,746775025588,COROLLE
w0529,LES CHERIES NIGHTTIME SET  *D,746775027513,COROLLE
w9016,MON PREMIER SMALL STROLLER,746775087319,COROLLE
w9017,MON PREMEIR CRADLE,746775087326,COROLLE
x0502,MON CLASSIQUE BABY SLING,746775101053,COROLLE
x0506,MON CLASSIQUE FLORAL HIGH CHAIR,746775101091,COROLLE
x0507,UMBRELLA STROLLER,746775101107,COROLLE
