POS Item Number,POS Item Name,POS UPC,Mfg Name
xxx,BABIPOUCE PINK STRIPED,3144942002344,COROLLE
xxx,"MON PREMIER BEBE CALIN CHARMING PASTEL  12""",3144942232314,COROLLE
xxx,"MON CLASSIQUE 14"" DOLL SOCKS",3144942442003,COROLLE
xxx,MON PREMIER BEBE CALIN CUDDLE,746775327200,COROLLE
xxx,MON BEBE CALIN MARIA,746775378660,COROLLE
xxx,BEBE CALIN PARIS PARTY,746775378677,COROLLE
xxx,CAMILLE BALLERINA,27084251258,COROLLE
xxx,"CHLOE' BALLERINA 13""",27084436129,COROLLE
xxx,"MISS COROLLE 14"" BALLERINA SET",27084568387,COROLLE
xxx,MISS COROLLE HAIRSTYLING & MAKEUP HEAD,27084745467,COROLLE
xxx,FEEDING BOTTLE & BIB SET,27084845204,COROLLE
xxx,DIAPERS (3),27084845211,COROLLE
xxx,POTTY SET,27084845235,COROLLE
xxx,MON CLASSIQUE CRADLE,27084888270,COROLLE
xxx,PAUL DRINK AND WET BATH BABY,27084905472,COROLLE
xxx,"MON CLASSIQUE 14"" BABY DOLL SHOES",27084905496,COROLLE
xxx,"NIGHTTTIME SET 14"" *D",746775003548,COROLLE
xxx,MON PREMIER BEBE CALIN SKY,746775014247,COROLLE
xxx,"MON BEBE CLASSIQUE PINK 14"" DOLL",746775014285,COROLLE
xxx,MON PREMIER MEALTIME SET,746775018122,COROLLE
xxx,MON BEBE CLASSIQUE BLONDETTE,746775022075,COROLLE
xxx,MON BEBE CLASSIQUE BRUNETTE,746775022082,COROLLE
xxx,MON PREMIER LARGE ACCESSORY SET,746775023492,COROLLE
xxx,MON PREMIER DOCTOR SET,746775025588,COROLLE
xxx,LES CHERIES NIGHTTIME SET  *D,746775027513,COROLLE
xxx,MON PREMIER SMALL STROLLER,746775087319,COROLLE
xxx,MON PREMEIR CRADLE,746775087326,COROLLE
xxx,MON CLASSIQUE BABY SLING,746775101053,COROLLE
xxx,MON CLASSIQUE FLORAL HIGH CHAIR,746775101091,COROLLE
xxx,UMBRELLA STROLLER,746775101107,COROLLE
