POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price,QOH
1,POPS CRAFTS SPOON CRITTERS,0731346119209,ALEX,1192,5.99,1
2,MON BABE CLASSIQUE DODO  14,0746775241469,COROLLE,,84,1
3,EIFFEL TOWER PUZZLE 37PC,0830715946436,DARON WORLDWIDE TRADING,,11.99,1
4,EMPIRE STATE BUILDING 3-D PUZZLE,0830715946276,DARON WORLDWIDE TRADING,CF048H,11.99,1
5,MOTORIZED SOLAR SYSTEM,0086002087027,EDUCATIONAL INSIGHTS INC.,5237,42.99,1
6,CAMP BOARD GAME,0890183001006,"EDUCATION OUTDOORS, INC",,24.99,1
7,POUND AND TAP BENCH,6943478002340,HAPE,E0305,29.99,1
8,BUTTERFLY PUSH TOY,6943478002388,HAPE,E0340,24.99,1
9,DANCING BUTTERFLIES PUSH TOY,6943478002395,HAPE,E0341,24.99,1
10,BUNNY PUSH TOY,6943478002401,HAPE,E0342,24.99,1
11,RAINBOW PUSH TOY,6943478002425,HAPE,E0344,24.99,1
12,LAWNMOWER PUSH TOY,6943478002432,HAPE,E0345,24.99,1
13,CREATIVE PEG PUZZLE,6943478002586,HAPE,,19.99,1
14,WINKEL,0011964408474,MANHATTAN TOY,200940,14.99,1
15,CLASSIC ETCH A SKETCH,0026511050501,THE OHIO ART COMPANY,50505,19.99,1
16,CRYSTAL CLUTCH STICK N STYLE,0622222081492,THE ORB FACTORY,81492,15.99,1
17,CLASSIC SIMON GAME,0014397018975,SCHYLLING TOYS,,25,1
18,WAGE UGLY DOLL,0826451100119,PRETTY UGLY LLC,10011,20,1
19,BABO UGLY DOLL,0826451100218,PRETTY UGLY LLC,,20,1
20,ICEBAT UGLY DOLL,0826451100713,PRETTY UGLY LLC,10071,20,1
21,OX UGLY DOLL,0826451100911,PRETTY UGLY LLC,10091,20,1
22,BIG TOE UGLYDOLL,0826451101710,PRETTY UGLY LLC,,20,1
23,TRUNKO CLASSIC UGLYDOLL,0826451103110,PRETTY UGLY LLC,10311,20,1
24,UPPY UGLYDOLL,0826451103813,PRETTY UGLY LLC,10381,20,1
25,Babalu,1560212616,Babalu,,23,1
26,Klutz,9780545346191,Klutz,,24,1
27,The Puppet Company,9781908633095,The Puppet Company,,25,1
28,Thames & Kosmos,9780071798994,Thames & Kosmos,,26,1
29,School Zone Publishing,9781601598882,School Zone Publishing,,27,1
