POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price,Stock Qty
2114,Dancing Alligator,084543051057,Plan Toys,000000005105,24.99,12
3374,626 Lego Green Building Plate,042884006266,Lego,000000000626,6.99,12
3528,Alps Bernese Mountain Dog,767548128152,Douglas,000000001851,49.99,12
4103,Big Red Barn,9780694006243,HarperCollins Publishers,9780694006243,7.99,10
4105,Carrot Seed,9780694004928,HarperCollins Publishers,9780694004928,6.99,10
4106,Charlotte's Web Full Color,9780064410939,HarperCollins Publishers,9780064410939,8.99,10
4111,Dinosaurs Dinosaurs,9780694006250,HarperCollins Publishers,9780694006250,7.99,10
4112,Elmer,9780688091712,HarperCollins Publishers,9780688091712,16.99,5
4113,Elmer's colors,9780688137625,HarperCollins Publishers,9780688137625,6.99,5
4119,Goodnight Moon BB,9780694003617,HarperCollins Publishers,9780694003617,8.99,5
4121,Treasury of Picture Book Class,9780060080945,HarperCollins Publishers,9780060080945,35,5
4126,If You Take a Mouse to School,9780060283285,HarperCollins Publishers,9780060283285,16.99,5
4127,If You Give a Pig a Pancake,9780060266868,HarperCollins Publishers,9780060266868,16.99,50,5
4131,Lillys Purple Plastic Purse,9780688128975,HarperCollins Publishers,9780688128975,17.99,5
4135,Runaway Bunny,9780061074295,HarperCollins Publishers,9780061074295,8.99,50
4139,Stuart Little Full Color,9780064410922,HarperCollins Publishers,9780064410922,8.99,50
4142,Where the Sidewalk Ends,9780060256678,HarperCollins Publishers,9780060256678,19.99,50
4159,Best Mouse Cookie,9780694012701,HarperCollins Publishers,9780694012701,6.99,50
4980,"The Lion, the Witch, and the W",9780060556501,HarperCollins Publishers,9780060556501,16.99,50
5270,Pinkalicious Teeny Tiny Pinky,9780062227249,HarperCollins Publishers,9780062227249,14.99,15
5320,Carrot Seed,9780060233501,HarperCollins Publishers,9780060233501,16.99,15
5343,Book of Hugs,9780060002732,HarperCollins Publishers,9780060002732,6.99,15
5902,Bag of Trucks,,BC USA,000000072010,5.99,15
6996,In the Night Kitchen,9780060266684,HarperCollins Publishers,9780060266684,17.99,15
7010,Fancy Nancy and the Posh Puppy,9780060542139,HarperCollins Publishers,9780060542139,17.99,15
7011,Tumble Bumble,9780694013449,HarperCollins Publishers,9780694013449,7.99,15
7012,Velveteen Rabbit,9780060527464,HarperCollins Publishers,9780060527464,5.99,7
7013,Mrs. Piggle-Wiggle,9780064401487,HarperCollins Publishers,9780064401487,5.99,7
7016,The Earth Dragon Awakes,9780060008468,HarperCollins Publishers,9780060008468,5.99,7
7017,"More, More, More Said the Baby",9780688156343,HarperCollins Publishers,9780688156343,7.99,7
7018,Pete's A Pizza,9780060527549,HarperCollins Publishers,9780060527549,7.99,7
7020,Beezus and Ramona,9780380709182,HarperCollins Publishers,9780380709182,6.99,8
7021,Ramona The Pest,9780380709540,HarperCollins Publishers,9780380709540,6.99,8
7022,Ramona the Brave,9780380709595,HarperCollins Publishers,9780380709595,6.99,8
7023,"Ramona Quimby, Age 8",9780380709564,HarperCollins Publishers,9780380709564,6.99,8
7024,Little House in the Big Woods,9780060581800,HarperCollins Publishers,9780060581800,8.99,0
7025,Little House on the Prarie,9780060581817,HarperCollins Publishers,9780060581817,8.99,0
7026,On the Banks of Plum Creek,9780060581831,HarperCollins Publishers,9780060581831,8.99,0
7028,I Stink!,9780060745929,HarperCollins Publishers,9780060745929,7.99,2
7030,My First Baby Signs,9780060090746,HarperCollins Publishers,9780060090746,6.99,2
7031,Goodnight Goodnight Sleepyhead,9780694015016,HarperCollins Publishers,9780694015016,7.99,2
7032,"Mama Mama, Papa Papa",9780060519155,HarperCollins Publishers,9780060519155,7.99,2
7224,"Happy Birthday, Mouse!",9780694014255,HarperCollins Publishers,9780694014255,6.99,20
7228,Foxy,9780062014191,HarperCollins Publishers,9780062014191,14.99,20
7235,Sideways Stories from Wayside,9780380698714,HarperCollins Publishers,9780380698714,5.99,20
7236,Wayside School is Falling Down,9780380754847,HarperCollins Publishers,9780380754847,5.99,20
