"POS Item Number","POS Item Name","POS UPC","Mfg Name","Mfg Item Number","Regular Price"
"354","Shape Sorting Clock","0000772001595","Melissa and Doug","000772085939","14.99"
"490","Numbers Sound Puzzle","0000772003391","Melissa and Doug","","19.99"
"361","Stack and Sort Board","0000772003797","Melissa and Doug","","9.99"
"3047","Magnetic Wooden Alphabet","0000772004480","Melissa and Doug","","11.99"
"3046","Magnetic Wooden Numbers","0000772004497","Melissa and Doug","","11.99"
"358","Take Along Tool Box","0000772004947","Melissa and Doug","","14.99"
"497","Blocks","0000772005036","Melissa and Doug","","69.98999999999999"
"363","Geometric Stacker","0000772005678","Melissa and Doug","","16.99"
"405","Wooden Railway Set","0000772007016","Melissa and Doug","","129.99"
"520","Firemen Sound Puzzle","0000772007313","Melissa and Doug","","12.99"
"523","Standing Art Easel","0000772012829","Melissa and Doug","","79.98999999999999"
"591","Easel Paper Roll","0000772014861","Melissa and Doug","","6.99"
"613","Spill Proof Paint Cups","0000772016230","Melissa and Doug","","7.99"
"433","Rainbow Stamp Pad","0000772016377","Melissa and Doug","","5.99"
"506","Jumbo Knob Barnyard Animals","0000772020541","Melissa and Doug","","9.99"
"500","Jumbo Knob House Pets","0000772020558","Melissa and Doug","","9.99"
"501","Jumbo Knob Puzzle Fish Bowl","0000772020565","Melissa and Doug","","9.99"
"2322","Wooden Workbench","0000772023696","Melissa and Doug","","99.98999999999999"
"430","Butterfly & Heart Stamp Set","0000772024150","Melissa and Doug","","6.99"
"3430","Jumbo Stamp Pad","0000772024198","Melissa and Doug","","6.99"
"2433","Rain Forest Stamp Set","0000772024235","Melissa and Doug","","19.99"
"522","Mermaid Jigsaw Puzzle","0000772029117","Melissa and Doug","","9.99"
"519","Playful Pets Jigsaw Puzzle","0000772029322","Melissa and Doug","","7.99"
"516","See & Spell","0000772029407","Melissa and Doug","","19.99"
"381","My First Temporary Tattoo Girls","0000772029469","Melissa and Doug","","3.99"
"380","My First Temporary Tattoos Boys","0000772029476","Melissa and Doug","","3.99"
"529","Chomp & Clack Alligator","0000772030113","Melissa and Doug","","49.99"
"362","First Bead Maze","0000772030427","Melissa and Doug","","15.99"
"1109","My First Paint with water","0000772031844","Melissa and Doug","","4.99"
"3431","Spanish Alphabet Puzzle","0000772032711","Melissa and Doug","","7.99"
"378","DYO Race Car Bank","0000772033329","Melissa and Doug","","6.99"
"507","Jumbo Knob Farm Friends Puzzle","0000772033916","Melissa and Doug","","19.99"
"2435","Fruit Jumbp Knob Puzzle","0000772033947","Melissa and Doug","","19.99"
"531","My First Chunky Puzzle Vehicles","0000772037112","Melissa and Doug","","9.99"
"530","My First Chunky Puzzle Pets","0000772037143","Melissa and Doug","","9.99"
"502","My 1st Chunky Puzzle Sea Animal","0000772037150","Melissa and Doug","","9.99"
"453","Paint with Water Pink","0000772037624","Melissa and Doug","","4.99"
"454","Paint with Water Blue","0000772037631","Melissa and Doug","","4.99"
"609","Picture Frame Pad","0000772037679","Melissa and Doug","","4.99"
"623","Complete The Picture Pad","0000772037686","Melissa and Doug","","4.99"
"521","Magnetic Tow Truck Game","0000772037778","Melissa and Doug","","9.99"
"492","Magnetic Fishing Game","0000772037785","Melissa and Doug","","9.99"
"509","Magnetic Bug Catching Game","0000772037792","Melissa and Doug","","9.99"
"946","Lace and Trace Shapes","0000772037808","Melissa and Doug","","9.99"
