POS Item Number,POS Item Name,POS UPC,Mfg Name
cra00001,Cranium Game,,Cranium
cra00002,Cranium Booster Box 12,,Cranium
cra00004,Cranium Cadoo 1222,,Cranium
cra00009,Cranium Primo Edition,,Cranium
cra00162,dgdfhfdhfh Cranium,,Cranium
3c4g22600,Fuchsia Bf Butterfly Set,6.38241E+11,Three Cheers For Girls
3c4g23322,10/ 12 Starfish Hoodie,,Three Cheers For Girls
3c4g23172,Square Dots Lap Desk,6.38241E+11,Three Cheers For Girls
corov9933,Corolle Mon Baby Classique Brunette Baby Doll,7.46775E+11,Corolle
AC62515,NEVER LET YESTERDAY'S DIS,4.25166E+11,TREND ENTERPRISES INC
AC62587,YOU ARE RESPONSIBLE FOR YOUR,4.25166E+11,TREND ENTERPRISES INC
AC62680,T*E*A*M,4.25166E+11,TREND ENTERPRISES INC
AC62681,"FOR SUCCESS, ATTITUDE IS AS IM",4.25166E+11,TREND ENTERPRISES INC
AC67234,B RESPONSIBLE 4 U   CHART,78628672343,TREND ENTERPRISES INC
AC67245,SAVE THE DRAMA FOR YOU LLAMA,78628672459,TREND ENTERPRISES INC
AC67261,GREEN COW,78628672619,TREND ENTERPRISES INC
AC67165b,BLACK DOG PUPPET,78628671650,TREND ENTERPRISES INC
A0545C,GALT CONNECTA STRAWS,7.81969E+11,SCIENTIFIC EXPLORER -GIDDY UP
A0576L,GALT FIRST OCTONS,7.81969E+11,SCIENTIFIC EXPLORER -GIDDY UP
A2500H,GALT FOLDING TRAMPOLINE,7.81969E+11,"ELMER'S PRODUCTS, INC."
ABC101,ABC 123 PIN,,"PIN-CENTIVES, INC"
AC101,APPLE PIN WITH CROSS,,"PIN-CENTIVES, INC"
AC62449,PEOPLE CAN ALTER THEIR LIVES,42516624493,TREND ENTERPRISES INC
AC62779,WINNERS MAKE THE GRADE,42516627791,TREND ENTERPRISES INC
AC67226,HOW YOU PLAY....CHART,78628672268,TREND ENTERPRISES INC
AC67246,LIFE IS A GREAT BIG CANVAS,78628672466,TREND ENTERPRISES INC
ACT02920,ACTIVE SCREEN,,ACTIVE PEOPLE
ACT41110,ASTROJAX V-MAX,4.03054E+12,ACTIVE PEOPLE
ACT41155,ASTROJAX MX POP,4.03054E+12,ACTIVE PEOPLE
ADO20103002,ADORA NURSERYTIME BABY,10475103021,ADORA
ADO201220935,ADORA LITTLE PRINCESS LT.SKIN/BLUE EYES,10475209358,ADORA
ADO201220936,PLAYTIME BABY LITTLE PRINCE,,ADORA
ADO201220937,PLAYTIME BABY LITTLE PRINCESS,10475209372,ADORA
