POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
1,NEVER LET YESTERDAY'S DIS,4.25166E+11,TREND ENTERPRISES INC,62515,3.49
2,YOU ARE RESPONSIBLE FOR YOUR,4.25166E+11,TREND ENTERPRISES INC,62587,3.49
3,T*E*A*M,4.25166E+11,TREND ENTERPRISES INC,62680,3.49
4,"FOR SUCCESS, ATTITUDE IS AS IM",4.25166E+11,TREND ENTERPRISES INC,62681,3.49
5,POSITIVE PEOPLE DON'T PUT OTHE,4.25166E+11,TREND ENTERPRISES INC,62766,3.49
6,BE YOURSELF,4.25166E+11,TREND ENTERPRISES INC,63040,3.49
7,WATCH YOUR THOUGHTS THEY BECOM,4.25166E+11,TREND ENTERPRISES INC,63041,3.49
8,JUST BECAUSE SOMETHING IS DIFF,4.25166E+11,TREND ENTERPRISES INC,63044,3.49
9,DREAMS ARE NOT SOMETHING TO WA,4.25166E+11,TREND ENTERPRISES INC,63045,3.49
10,YOU CAN ALWAYS BE A BETTER,4.25166E+11,TREND ENTERPRISES INC,63048,3.49
11,THE TASK AHEAD OF YOU IS NEVER,4.25166E+11,TREND ENTERPRISES INC,63070,3.49
12,MATH- IT'S EVERYWHERE,4.25166E+11,TREND ENTERPRISES INC,63087,3.49
13,GALT POP-UP TOY,5.01198E+12,SCIENTIFIC EXPLORER -GIDDY UP,a0138l,10.99
694012701,THE BEST MOUSE COOKIE,9.78069E+12,HARPER COLLINS PUBLISHERS,,
9.78069E+12,BEST MOUSE COOKIE BOARD BOOK,,HARPER COLLINS PUBLISHERS,,
26,PASS WITH HARD WORK POSTER,78628672572,TREND ENTERPRISES INC,67257,3.49
27,RED COW,78628672596,TREND ENTERPRISES INC,67259,3.49
28,GREEN COW,78628672619,TREND ENTERPRISES INC,67261,3.49
29,BLACK DOG PUPPET,78628671650,TREND ENTERPRISES INC,67165b,3.49
45,ADORA LITTLE PRINCESS LT.SKIN/BLUE EYES,10475209358,ADORA,201220935,29.99
46,PLAYTIME BABY LITTLE PRINCE,,ADORA,201220936,37.99
47,PLAYTIME BABY LITTLE PRINCESS,10475209372,ADORA,201220937,37.99
48,PLAYTIME 3 PC LAYETTE SET PINK,10475209396,ADORA,201220939,18.99
49,PLAYTIME 2PC BUNTING SET PINK,10475209419,ADORA,201220941,18.99
10475209419,PLAYTIME 2PC BUNTING SET PINK,10475209419,ADORA,201220941,18.99
49,PLAYTIME 2PC BUNTING SET PINK,10475209419,ADORA,201220941,18.99
201220941,PLAYTIME 2PC BUNTING SET PINK,10475209419,ADORA,201220941,18.99
50,PLAYTIME SNUGGLE UP PINK,10475209495,ADORA,201220949,18.99
45,ADORA LITTLE PRINCESS LT.SKIN/BLUE EYES,10475209358,ADORA,201220935,29.99
46,PLAYTIME BABY LITTLE PRINCE,,ADORA,201220936,37.99
47,PLAYTIME BABY LITTLE PRINCESS,10475209372,ADORA,201220937,37.99
48,PLAYTIME 3 PC LAYETTE SET PINK,10475209396,ADORA,201220939,18.99
49,PLAYTIME 2PC BUNTING SET PINK,10475209419,ADORA,201220941,18.99
50,PLAYTIME SNUGGLE UP PINK,10475209495,ADORA,201220949,18.99
50,PLAYTIME SNUGGLE UP PINK,10475209495,ADORA,201220949,18.99
LCI9384,WOODEN DOLL ARMOIRE,772093842,MELISSA & DOUG,,
LCI9385,WOODEN DOLL CRIB,772093859,MELISSA & DOUG,,
LCI9386,MINI TOOL BENCH,772093866,MELISSA & DOUG,,
LCI9390,MAGNETIC CAR LOADER,772093903,MELISSA & DOUG,,
LCI9391,WHITTLE WORLD FIRE TRUCK,772093910,MELISSA & DOUG,,
LCI9392,WHITTLE WORLD FARM TRACTOR,772093927,MELISSA & DOUG,,
LCI9393,PASSENGER TRAIN,772093934,MELISSA & DOUG,,
LCI9394,AIRPLANE WOODEN PLAYSET,772093941,MELISSA & DOUG,,
LCI9395,SCHOOL BUS,772093958,MELISSA & DOUG,,
LCI9396,WOODEN NEIGHBORS SET,772093965,MELISSA & DOUG,,
LCI9400,ROUND THE TOWN ROAD RUG AND CAR SET,772094009,MELISSA & DOUG,,
ADO20103002,ADORA NURSERYTIME BABY,10475103021,ADORA,20103002,79.99
ADO201220935,ADORA LITTLE PRINCESS LT.SKIN/BLUE EYES,10475209358,ADORA,201220935,29.99
ADO201220936,PLAYTIME BABY LITTLE PRINCE,,ADORA,201220936,37.99
ADO201220937,PLAYTIME BABY LITTLE PRINCESS,10475209372,ADORA,201220937,37.99
ADO201220939,PLAYTIME 3 PC LAYETTE SET PINK,10475209396,ADORA,201220939,18.99
ADO201220941,PLAYTIME 2PC BUNTING SET PINK,10475209419,ADORA,201220941,18.99
ADO201220949,PLAYTIME SNUGGLE UP PINK,10475209495,ADORA,201220949,18.99
ADO201220959,ADORA LITTLE PRINCESS LT SKIN/BR EYES,10475229592,ADORA,201220959,29.99
ADO20153001,GIGGLE TIME BABY FUCHSIA LT SKIN/BLONDE/BLUE EYES,10475210460,ADORA,20153001,49.99
ADO20153002,GIGGLE TIME BABY BLUE LT SKIN/BROWN/BR EYES,10475210491,ADORA,20153002,49.99
ADO201820999,NURSERY TIME BABY LT. SKIN BLUE EYES,,ADORA,201820999,79.99
adki060701b,Brittany Adorable Kinders Rag Doll,,Adorable Kinders,0607-01B,59.99
adki060701c,Christy Adorable Kinders Rag Doll,,Adorable Kinders,0607-01C,59.99
adki060701e,Evelyn Adorable Kinders Rag Doll,,Adorable Kinders,0607-01E,59.99
adki060701f,Faith Adorable Kinders Rag Doll,,Adorable Kinders,0607-01F,59.99
adki060701i,Ivan Adorable Kinders Rag Doll,,Adorable Kinders,0607-01I,59.99
adki060701j,Jj Adorable Kinders Rag Doll,,Adorable Kinders,0607-01J,59.99
adki060701k,Kathy Adorable Kinders Rag Doll,,Adorable Kinders,0607-01K,59.99
adki060701l,Landon Adorable Kinders Rag Doll,,Adorable Kinders,0607-01L,59.99
adki060701m,Mari Adorable Kinders Rag Doll,,Adorable Kinders,0607-01M,59.99
adki060701n,Natalia Adorable Kinders Rag Doll,,Adorable Kinders,0607-01N,59.99
adki060701o,Opri Adorable Kinders Rag Doll,,Adorable Kinders,0607-01O,59.99
adki060701p,Pia Adorable Kinders Rag Doll,,Adorable Kinders,0607-01P,59.99
adki060701q,Qiana Adorable Kinders Rag Doll,,Adorable Kinders,0607-01Q,59.99
adki060701r,Rena Adorable Kinders Rag Doll,,Adorable Kinders,0607-01R,59.99
adki060701s,Sierra Adorable Kinders Rag Doll,,Adorable Kinders,0607-01S,59.99
