POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
bcus273,6-in-1 LASER Tool Card-black-1,,BC Mini,273,10
acumerudition,Er-u-di-tion,,acumerudition,acumerudition,24.99
adki060701b,Brittany Adorable Kinders Rag Doll,,Adorable Kinders,0607-01B,59.99
adki060701c,Christy Adorable Kinders Rag Doll,,Adorable Kinders,0607-01C,59.99
adki060701e,Evelyn Adorable Kinders Rag Doll,,Adorable Kinders,0607-01E,59.99
adki060701f,Faith Adorable Kinders Rag Doll,,Adorable Kinders,0607-01F,59.99
adki060701i,Ivan Adorable Kinders Rag Doll,,Adorable Kinders,0607-01I,59.99
adki060701j,Jj Adorable Kinders Rag Doll,,Adorable Kinders,0607-01J,59.99
adki060701k,Kathy Adorable Kinders Rag Doll,,Adorable Kinders,0607-01K,59.99
adki060701l,Landon Adorable Kinders Rag Doll,,Adorable Kinders,0607-01L,59.99
adki060701m,Mari Adorable Kinders Rag Doll,,Adorable Kinders,0607-01M,59.99
adki060701n,Natalia Adorable Kinders Rag Doll,,Adorable Kinders,0607-01N,59.99
adki060701o,Opri Adorable Kinders Rag Doll,,Adorable Kinders,0607-01O,59.99
adki060701p,Pia Adorable Kinders Rag Doll,,Adorable Kinders,0607-01P,59.99
adki060701q,Qiana Adorable Kinders Rag Doll,,Adorable Kinders,0607-01Q,59.99
adki060701r,Rena Adorable Kinders Rag Doll,,Adorable Kinders,0607-01R,59.99
adki060701s,Sierra Adorable Kinders Rag Doll,,Adorable Kinders,0607-01S,59.99
adki060701t,Thomas Adorable Kinders Rag Doll,,Adorable Kinders,0607-01T,59.99
adki070801h,Hope Adorable Kinders Rag Doll,,Adorable Kinders,0708-01H,59.99
adki070801v,Vianca Adorable Kinders Rag Doll,,Adorable Kinders,0708-01V,59.99
ador08002,Sandy-06,,Adora,8002,49.95
ador08003,Mary,,Adora,8003,49.95
ador08004,Gloria,,Adora,8004,49.95
ador08005,Molly,,Adora,8005,49.95
ador08006,Erika,,Adora,8006,49.95
ador08007,Carmen,,Adora,8007,49.95
ador08008,Hans,,Adora,8008,49.95
ador08009,Katrina,,Adora,8009,49.95
ador08010,Taylor,,Adora,8010,49.95
ador08011,Jennifer,,Adora,8011,49.95
ador08012,Rachel,,Adora,8012,49.95
ador08013,Maggie,,Adora,8013,49.95
ador08019,Sandy-07,,Adora,8019,49.95
ador08020,Lily,,Adora,8020,49.95
corox5984,Corolle Mon Classique Lila Cherie Baby Doll,7.46775E+11,Corolle,X5984,99.99
corov9933,Corolle Mon Baby Classique Brunette Baby Doll,7.46775E+11,Corolle,V9933,79.99
corov9932,Corolle Mon Baby Classique Blondinette Baby Doll,7.46775E+11,Corolle,V9932,79.99
coroy7397,Corolle Mon Baby Classique Dodo Baby Doll,7.46775E+11,Corolle,Y7397,79.99
corot4556,Corolle Mon Classique Paul Drink & Wet Bath Baby Doll,27084905472,Corolle,T4556,59.99
corot4555,Corolle Mon Classique Emma Drink & Wet Bath Baby Doll,27084905465,Corolle,T4555,59.99
coroy7396,Corolle's Mon Baby Classique Happiness Baby Doll,7.46775E+11,Corolle,Y7396,79.99
corow9026,Corolle's Mon Baby Classique Graceful Pink Baby Doll,7.46775E+11,Corolle,W9026,69.99
corov9075,Corolle's Mon Baby Classique Sky Baby Doll,7.46775E+11,Corolle,V9075,69.99
corov9074,Corolle's Mon Baby Classique Pink Baby Doll,7.46775E+11,Corolle,V9074,69.99
schy9000386,Lego L.o.c. Lennox Watch,8.30659E+11,Corolle,9000386,12.5
coroy8381,Corolle Mademoiselle Corolle Mini Corolline Redhead Doll,7.46775E+11,Corolle,Y8381,19.99
corow9361,Corolle Mademoiselle Corolle Mini Corolline Brunette Doll,7.46775E+11,Corolle,W9361,19.99
corow9360,Corolle Mademoiselle Corolle Mini Corolline Blonde Doll,7.46775E+11,Corolle,W9360,19.99
corow8995,Corolle Mademoiselle Corolle Mini Corolline Coco Doll,7.46775E+11,Corolle,W8995,19.99
corom2134,Corolle Mon Classique Mini Babies,27084567786,Corolle,M2134,12.99
coroy7405,Corolle Mademoiselle Corolle Coquette Brunette Doll,7.46775E+11,Corolle,Y7405,74.99
coroy7404,Corolle Mademoiselle Corolle Coquette Redhead Doll,7.46775E+11,Corolle,Y7404,74.99
coroy7403,Corolle Mademoiselle Corolle Coquette Blonde Doll,7.46775E+11,Corolle,Y7403,74.99
corok7099,Corolle Les Cheries Chloe Ballerina Doll,27084436129,Corolle,K7099,49.99
coroh6384,Corolle Les Cheries Camille Ballerina Doll,27084251258,Corolle,H6384,49.99
corop5119,Corolle Mademoiselle Corolle Hairstyling Head,27084745467,Corolle,P5119,59.99
coroy5461,Corolle Mon Premier Grey Star Pajamas & Cap (12,7.46775E+11,Corolle,Y5461,23.99
coroy5460,Corolle Mon Premier Pink Cardigan & Denim (12,7.46775E+11,Corolle,Y5460,23.99
coroy5459,Corolle Mon Premier Blouse & Cardigan & Pants Set (12,7.46775E+11,Corolle,Y5459,23.99
coroy5458,Corolle Mon Premier Grenadine Blouse & Denim Pants (12,7.46775E+11,Corolle,Y5458,23.99
coroy5457,Corolle Mon Premier Bloomer Happiness (!2,7.46775E+11,Corolle,Y5457,23.99
coroy5456,Corolle Mon Premier Paris Dress & Leggings (12,7.46775E+11,Corolle,Y5456,23.99
coroy5455,Corolle Mon Premier Pink Dress & Woolen Vest (12,7.46775E+11,Corolle,Y5455,23.99
coroy5454,Corolle Mon Premier Pink Dress (12,7.46775E+11,Corolle,Y5454,23.99
corow9043,Corolle Mon Classique Denim Overalls Set (17,7.46775E+11,Corolle,W9043,27.99
corot4559,Corolle Mon Classique Shoes (17,27084905502,Corolle,T4559,14.99
coro45200,Corolle Mon Classique Socks (17,3.14494E+12,Corolle,45200,12.99
coroy5474,Corolle Mon Classique Grey Star Pajamas & Cap (14,7.46775E+11,Corolle,Y5474,26.99
coroy5473,Corolle Mon Classique Paris Cardigan & Denim (14,7.46775E+11,Corolle,Y5473,26.99
coroy5472,Corolle Mon Classique Blouse & Cardigan & Pants (14,7.46775E+11,Y5472,26.99,
corow9038,Corolle Mon Classique Denim Overalls Set (14,7.46775E+11,Corolle,W9038,26.99
coroy7410,Corolle Mademoiselle Corolle Ruffle Dress & Shoes Set,7.46775E+11,Corolle,Y7410,26.99
coroy7411,Corolle Mademoiselle Corolle Striped Dress & Sandals Set,7.46775E+11,Corolle,Y7411,26.99
coroy7408,Corolle Mademoiselle Corolle Party Dress & Shoes Set,7.46775E+11,Y7408,26.99,
corom2196,Corolle Mademoiselle Corolle Ballerina Set,27084568387,Corolle,M2196,26.99
coror7290,Corolle Mon Classique Diapers Set,27084845211,Corolle,R7290,7.99
cra00001,Cranium Game,,Cranium,1,27.99
cra00002,Cranium Booster Box 1,,Cranium,2,14.99
cra00003,Cranium Booster Box 2,,Cranium,3,19.99
cra00004,Cranium Cadoo,,Cranium,4,19.99
cra00009,Cranium Primo Edition,,Cranium,9,49.99
cra00010,Cranium Cadoo Booster Box,,Cranium,10,9.99
cra00015,Cranium Cariboo,,Cranium,15,16.99
cra00017,Cranium Hoopla,,Cranium,17,19.99
cra00099,Cranium Tin Edition,,Cranium,99,39.99
cra00161,Cranium Hullabaloo,,Cranium,161,19.99
cra00162,Cranium Conga,,Cranium,162,19.99
cra01193,The Cranium Big Book Of Outrageous Fun,,Cranium,1193,19.99
cra05759,The Star Performer Book Of Outrageous Fun,,Cranium,5759,14.99
cra05760,The Creative Cat Book Of Outrageous Fun,,Cranium,5760,14.99
cra05761,The Data Head Book Of Outrageous Fun,,Cranium,5761,14.99
cra23185,Cranium Grab and Go Sudoko,,Cranium,23185,9.95
cra34568,Cranium Edicion Latinoamericana,,Cranium,34568,27.95
croc10351,Drinking Bottle Pink Butterfly,7.32396E+11,Crocodile Creek,1035-1,10
croc10352,Drinking Bottle Sunflower,7.32396E+11,Crocodile Creek,1035-2,10
