"POS Item Number","POS Item Name","POS UPC","Mfg Name","Mfg Item Number","Regular Price"
"0001","NEVER LET YESTERDAY'S DIS","0425166251552","TREND ENTERPRISES INC","62515","3.49"
"0002","YOU ARE RESPONSIBLE FOR YOUR","0425166258728","TREND ENTERPRISES INC","62587","3.49"
"0003","T*E*A*M","0425166268000","TREND ENTERPRISES INC","62680","3.49"
"0004","FOR SUCCESS, ATTITUDE IS AS IM","0425166268178","TREND ENTERPRISES INC","62681","3.49"
"0005","POSITIVE PEOPLE DON'T PUT OTHE","0425166276616","TREND ENTERPRISES INC","62766","3.49"
"0006","BE YOURSELF","0425166304012","TREND ENTERPRISES INC","63040","3.49"
"0007","WATCH YOUR THOUGHTS THEY BECOM","0425166304180","TREND ENTERPRISES INC","63041","3.49"
"0008","JUST BECAUSE SOMETHING IS DIFF","0425166304494","TREND ENTERPRISES INC","63044","3.49"
"0009","DREAMS ARE NOT SOMETHING TO WA","0425166304562","TREND ENTERPRISES INC","63045","3.49"
"0010","YOU CAN ALWAYS BE A BETTER","0425166304876","TREND ENTERPRISES INC","63048","3.49"
"0011","THE TASK AHEAD OF YOU IS NEVER","0425166307082","TREND ENTERPRISES INC","63070","3.49"
"0012","MATH- IT'S EVERYWHERE","0425166308768","TREND ENTERPRISES INC","63087","3.49"
"0013","GALT POP-UP TOY","5011979101389","SCIENTIFIC EXPLORER -GIDDY UP","a0138l","10.99"
"0014","GALT SOFT BABY BOOK","0781968500190","SCIENTIFIC EXPLORER -GIDDY UP","6850019","5.99"
"0015","THE GREATEST NATURAL RESOURCE","0042516624226","TREND ENTERPRISES INC","62422","3.49"
"0016","PEACEFUL CONFLICT RESOLUTION","0042516624264","TREND ENTERPRISES INC","62426","3.49"
"0017","ONLY POSITIVE ATTITUDES ALLOWE","0042516625896","TREND ENTERPRISES INC","62589","3.49"
"0018","STAND UP FOR WHAT IS RIGH","0042516625902","TREND ENTERPRISES INC","62590","3.49"
"0019","IF YOU EXPECT RESPECT BE","0042516627586","TREND ENTERPRISES INC","62758","3.49"
"0020","COURAGE IS DOING RIGHT WH","0042516627609","TREND ENTERPRISES INC","62760","3.49"
"0021","YOUR ACTIONS SPEAK...CHART","0078628671810","TREND ENTERPRISES INC","67181","3.49"
"0022","BELIEVE YOU CAN ACHIEVE CHART","0078628672190","TREND ENTERPRISES INC","67219","3.49"
"0023","FEED YOUR BRAIN CHART","0078628672336","TREND ENTERPRISES INC","67233","3.49"
"0024","B RESPONSIBLE 4 U   CHART","0078628672343","TREND ENTERPRISES INC","67234","3.49"
"0025","SAVE THE DRAMA FOR YOU LLAMA","0078628672459","TREND ENTERPRISES INC","67245","3.49"
"0026","PASS WITH HARD WORK POSTER","0078628672572","TREND ENTERPRISES INC","67257","3.49"
"0027","RED COW","0078628672596","TREND ENTERPRISES INC","67259","3.49"
"0028","GREEN COW","0078628672619","TREND ENTERPRISES INC","67261","3.49"
"0029","BLACK DOG PUPPET","0078628671650","TREND ENTERPRISES INC","67165b","3.49"
"0030","GALT CONNECTA STRAWS","0781968500091","SCIENTIFIC EXPLORER -GIDDY UP","","10.99"
"0031","GALT FIRST OCTONS","0781968500107","SCIENTIFIC EXPLORER -GIDDY UP","","10.99"
"0032","GALT FOLDING TRAMPOLINE","0781968500084","ELMER'S PRODUCTS, INC.","","99.98999999999999"
"0033","ABC 123 PIN","","PIN-CENTIVES, INC","","2.35"
"0034","APPLE PIN WITH CROSS","","PIN-CENTIVES, INC","","2.35"
"0035","PEOPLE CAN ALTER THEIR LIVES","0042516624493","TREND ENTERPRISES INC","","3.49"
"0036","WINNERS MAKE THE GRADE","0042516627791","TREND ENTERPRISES INC","","3.49"
"0037","HOW YOU PLAY....CHART","0078628672268","TREND ENTERPRISES INC","","3.49"
"0038","LIFE IS A GREAT BIG CANVAS","0078628672466","TREND ENTERPRISES INC","","3.49"
"0039","ACTIVE SCREEN","","ACTIVE PEOPLE","","0"
"0040","ASTROJAX V-MAX","4030544653208","ACTIVE PEOPLE","","13.99"
"0041","ASTROJAX MX POP","4030544411556","ACTIVE PEOPLE","","19.99"
"0042","KIWIDO W/CD ROM","4030544432025","ACTIVE PEOPLE","","26.99"
"0043","KIWIDO CLASSIC","4030544432506","ACTIVE PEOPLE","","24.99"
"0044","ADORA NURSERYTIME BABY","0010475103021","ADORA","20103002","79.98999999999999"
"0045","ADORA LITTLE PRINCESS LT.SKIN/BLUE EYES","0010475209358","ADORA","201220935","29.99"
"0046","PLAYTIME BABY LITTLE PRINCE","","ADORA","201220936","37.99"
"0047","PLAYTIME BABY LITTLE PRINCESS","0010475209372","ADORA","201220937","37.99"
"0048","PLAYTIME 3 PC LAYETTE SET PINK","0010475209396","ADORA","201220939","18.99"
"0049","PLAYTIME 2PC BUNTING SET PINK","0010475209419","ADORA","201220941","18.99"
"0050","PLAYTIME SNUGGLE UP PINK","0010475209495","ADORA","201220949","18.99"
"0051","ADORA LITTLE PRINCESS LT SKIN/BR EYES","0010475229592","ADORA","201220959","29.99"
"0052","GIGGLE TIME BABY FUCHSIA LT SKIN/BLONDE/BLUE EYES","0010475210460","ADORA","20153001","49.99"
"0053","GIGGLE TIME BABY BLUE LT SKIN/BROWN/BR EYES","0010475210491","ADORA","20153002","49.99"
"0054","NURSERY TIME BABY LT. SKIN BLUE EYES","","ADORA","201820999","79.98999999999999"
"","","","","",""
