"POS Item Number","POS Item Name","POS UPC","Mfg Name","Mfg Item Number","Regular Price"
"AC62515","NEVER LET YESTERDAY'S DIS","0425166251552","TREND ENTERPRISES INC","62515","3.49"
"AC62587","YOU ARE RESPONSIBLE FOR YOUR","0425166258728","TREND ENTERPRISES INC","62587","3.49"
"AC62680","T*E*A*M","0425166268000","TREND ENTERPRISES INC","62680","3.49"
"AC62681","FOR SUCCESS, ATTITUDE IS AS IM","0425166268178","TREND ENTERPRISES INC","62681","3.49"
"AC62766","POSITIVE PEOPLE DON'T PUT OTHE","0425166276616","TREND ENTERPRISES INC","62766","3.49"
"AC63040","BE YOURSELF","0425166304012","TREND ENTERPRISES INC","63040","3.49"
"AC63041","WATCH YOUR THOUGHTS THEY BECOM","0425166304180","TREND ENTERPRISES INC","63041","3.49"
"AC63044","JUST BECAUSE SOMETHING IS DIFF","0425166304494","TREND ENTERPRISES INC","63044","3.49"
"AC63045","DREAMS ARE NOT SOMETHING TO WA","0425166304562","TREND ENTERPRISES INC","63045","3.49"
"AC63048","YOU CAN ALWAYS BE A BETTER","0425166304876","TREND ENTERPRISES INC","63048","3.49"
"AC63070","THE TASK AHEAD OF YOU IS NEVER","0425166307082","TREND ENTERPRISES INC","63070","3.49"
"AC63087","MATH- IT'S EVERYWHERE","0425166308768","TREND ENTERPRISES INC","63087","3.49"
"A0138L","GALT POP-UP TOY","5011979101389","SCIENTIFIC EXPLORER -GIDDY UP","a0138l","10.99"
"A1099K","GALT SOFT BABY BOOK","0781968500190","SCIENTIFIC EXPLORER -GIDDY UP","6850019","5.99"
"AC62422","THE GREATEST NATURAL RESOURCE","0042516624226","TREND ENTERPRISES INC","62422","3.49"
"AC62426","PEACEFUL CONFLICT RESOLUTION","0042516624264","TREND ENTERPRISES INC","62426","3.49"
"AC62589","ONLY POSITIVE ATTITUDES ALLOWE","0042516625896","TREND ENTERPRISES INC","62589","3.49"
"AC62590","STAND UP FOR WHAT IS RIGH","0042516625902","TREND ENTERPRISES INC","62590","3.49"
"AC62758","IF YOU EXPECT RESPECT BE","0042516627586","TREND ENTERPRISES INC","62758","3.49"
"AC62760","COURAGE IS DOING RIGHT WH","0042516627609","TREND ENTERPRISES INC","62760","3.49"
"AC67181","YOUR ACTIONS SPEAK...CHART","0078628671810","TREND ENTERPRISES INC","67181","3.49"
"AC67219","BELIEVE YOU CAN ACHIEVE CHART","0078628672190","TREND ENTERPRISES INC","67219","3.49"
"AC67233","FEED YOUR BRAIN CHART","0078628672336","TREND ENTERPRISES INC","67233","3.49"
"AC67234","B RESPONSIBLE 4 U   CHART","0078628672343","TREND ENTERPRISES INC","67234","3.49"
"AC67245","SAVE THE DRAMA FOR YOU LLAMA","0078628672459","TREND ENTERPRISES INC","67245","3.49"
"AC67257","PASS WITH HARD WORK POSTER","0078628672572","TREND ENTERPRISES INC","67257","3.49"
"AC67259","RED COW","0078628672596","TREND ENTERPRISES INC","67259","3.49"
"AC67261","GREEN COW","0078628672619","TREND ENTERPRISES INC","67261","3.49"
"AC67165b","BLACK DOG PUPPET","0078628671650","TREND ENTERPRISES INC","67165b","3.49"
"A0545C","GALT CONNECTA STRAWS","0781968500091","SCIENTIFIC EXPLORER -GIDDY UP","","10.99"
"A0576L","GALT FIRST OCTONS","0781968500107","SCIENTIFIC EXPLORER -GIDDY UP","","10.99"
"A2500H","GALT FOLDING TRAMPOLINE","0781968500084","ELMER'S PRODUCTS, INC.","","99.99"
"ABC101","ABC 123 PIN","","PIN-CENTIVES, INC","","2.35"
"AC101","APPLE PIN WITH CROSS","","PIN-CENTIVES, INC","","2.35"
"AC62449","PEOPLE CAN ALTER THEIR LIVES","0042516624493","TREND ENTERPRISES INC","","3.49"
"AC62779","WINNERS MAKE THE GRADE","0042516627791","TREND ENTERPRISES INC","","3.49"
"AC67226","HOW YOU PLAY....CHART","0078628672268","TREND ENTERPRISES INC","","3.49"
"AC67246","LIFE IS A GREAT BIG CANVAS","0078628672466","TREND ENTERPRISES INC","","3.49"
"ACT02920","ACTIVE SCREEN","","ACTIVE PEOPLE","","0"
"ACT41110","ASTROJAX V-MAX","4030544653208","ACTIVE PEOPLE","","13.99"
"ACT41155","ASTROJAX MX POP","4030544411556","ACTIVE PEOPLE","","19.99"
"ACT43200","KIWIDO W/CD ROM","4030544432025","ACTIVE PEOPLE","","26.99"
"ACT43250","KIWIDO CLASSIC","4030544432506","ACTIVE PEOPLE","","24.99"
"ADO20103002","ADORA NURSERYTIME BABY","0010475103021","ADORA","20103002","79.99"
"ADO201220935","ADORA LITTLE PRINCESS LT.SKIN/BLUE EYES","0010475209358","ADORA","201220935","29.99"
"ADO201220936","PLAYTIME BABY LITTLE PRINCE","","ADORA","201220936","37.99"
"ADO201220937","PLAYTIME BABY LITTLE PRINCESS","0010475209372","ADORA","201220937","37.99"
"ADO201220939","PLAYTIME 3 PC LAYETTE SET PINK","0010475209396","ADORA","201220939","18.99"
"ADO201220941","PLAYTIME 2PC BUNTING SET PINK","0010475209419","ADORA","201220941","18.99"
"ADO201220949","PLAYTIME SNUGGLE UP PINK","0010475209495","ADORA","201220949","18.99"
"ADO201220959","ADORA LITTLE PRINCESS LT SKIN/BR EYES","0010475229592","ADORA","201220959","29.99"
"ADO20153001","GIGGLE TIME BABY FUCHSIA LT SKIN/BLONDE/BLUE EYES","0010475210460","ADORA","20153001","49.99"
"ADO20153002","GIGGLE TIME BABY BLUE LT SKIN/BROWN/BR EYES","0010475210491","ADORA","20153002","49.99"
"ADO201820999","NURSERY TIME BABY LT. SKIN BLUE EYES","","ADORA","201820999","79.99"
"9999","MON BABE CLASSIQUE DODO  14","0746775241469","Corolle","","83.99"
"ADO201220949","PLAYTIME SNUGGLE UP PINK","0010475209495","ADORA","201220949","18.99"
"ADO201220959","ADORA LITTLE PRINCESS LT SKIN/BR EYES","0010475229592","ADORA","201220959","29.99"
"ADO20153001","GIGGLE TIME BABY FUCHSIA LT SKIN/BLONDE/BLUE EYES","0010475210460","ADORA","20153001","49.99"
