"POS Item Number","POS Item Name","POS UPC","Mfg Name","Mfg Item Number","Regular Price","","STN sku","STN ITEM NAME","Match-up Method","Grade  "
"AC62515","NEVER LET YESTERDAY'S DIS","425166251552","TREND ENTERPRISES INC","62515","3.49","","","","",""
"AC62587","YOU ARE RESPONSIBLE FOR YOUR","425166258728","TREND ENTERPRISES INC","62587","3.49","","","","",""
"AC62680","T*E*A*M","425166268000","TREND ENTERPRISES INC","62680","3.49","","","","",""
"AC62681","FOR SUCCESS, ATTITUDE IS AS IM","425166268178","TREND ENTERPRISES INC","62681","3.49","","","","",""
"AC62766","POSITIVE PEOPLE DON'T PUT OTHE","425166276616","TREND ENTERPRISES INC","62766","3.49","","","","",""
"AC63040","BE YOURSELF","425166304012","TREND ENTERPRISES INC","63040","3.49","","","","",""
"AC63041","WATCH YOUR THOUGHTS THEY BECOM","425166304180","TREND ENTERPRISES INC","63041","3.49","","","","",""
"AC63044","JUST BECAUSE SOMETHING IS DIFF","425166304494","TREND ENTERPRISES INC","63044","3.49","","","","",""
"AC63045","DREAMS ARE NOT SOMETHING TO WA","425166304562","TREND ENTERPRISES INC","63045","3.49","","","","",""
"AC63048","YOU CAN ALWAYS BE A BETTER","425166304876","TREND ENTERPRISES INC","63048","3.49","","","","",""
"AC63070","THE TASK AHEAD OF YOU IS NEVER","425166307082","TREND ENTERPRISES INC","63070","3.49","","","","",""
"AC63087","MATH- IT'S EVERYWHERE","425166308768","TREND ENTERPRISES INC","63087","3.49","","","","",""
"A0138L","GALT POP-UP TOY","5011979101389","SCIENTIFIC EXPLORER -GIDDY UP","a0138l","10.99","","","","",""
"A1099K","GALT SOFT BABY BOOK","781968500190","SCIENTIFIC EXPLORER -GIDDY UP","6850019","5.99","","","","",""
"AC62422","THE GREATEST NATURAL RESOURCE","42516624226","TREND ENTERPRISES INC","62422","3.49","","","","",""
"AC62426","PEACEFUL CONFLICT RESOLUTION","42516624264","TREND ENTERPRISES INC","62426","3.49","","","","",""
"AC62589","ONLY POSITIVE ATTITUDES ALLOWE","42516625896","TREND ENTERPRISES INC","62589","3.49","","","","",""
"AC62590","STAND UP FOR WHAT IS RIGH","42516625902","TREND ENTERPRISES INC","62590","3.49","","","","",""
"AC62758","IF YOU EXPECT RESPECT BE","42516627586","TREND ENTERPRISES INC","62758","3.49","","","","",""
"AC62760","COURAGE IS DOING RIGHT WH","42516627609","TREND ENTERPRISES INC","62760","3.49","","","","",""
"AC67181","YOUR ACTIONS SPEAK...CHART","78628671810","TREND ENTERPRISES INC","67181","3.49","","","","",""
"AC67219","BELIEVE YOU CAN ACHIEVE CHART","78628672190","TREND ENTERPRISES INC","67219","3.49","","","","",""
"AC67233","FEED YOUR BRAIN CHART","78628672336","TREND ENTERPRISES INC","67233","3.49","","","","",""
