POS Item Number,POS Item Name,POS UPC,Mfg Name
cra00001,Cranium Game,,Cranium
cra00002,Cranium Booster Box 12,,Cranium
cra00004,Cranium Cadoo 1222,,Cranium
cra00009,Cranium Primo Edition,,Cranium
cra00162,dgdfhfdhfh Cranium,,Cranium
3c4g22600,Fuchsia Bf Butterfly Set,638241226004,Three Cheers For Girls
3c4g23322,10/ 12 Starfish Hoodie,,Three Cheers For Girls
3c4g23172,Square Dots Lap Desk,638241231725,Three Cheers For Girls
corov9933,Corolle Mon Baby Classique Brunette Baby Doll,746775022082,Corolle
AC62515,NEVER LET YESTERDAY'S DIS,425166251552,TREND ENTERPRISES INC
AC62587,YOU ARE RESPONSIBLE FOR YOUR,425166258728,TREND ENTERPRISES INC
AC62680,T*E*A*M,425166268000,TREND ENTERPRISES INC
AC62681,"FOR SUCCESS, ATTITUDE IS AS IM",425166268178,TREND ENTERPRISES INC
AC62758,IF YOU EXPECT RESPECT BE,42516627586,TREND ENTERPRISES INC
AC62760,COURAGE IS DOING RIGHT WH,42516627609,TREND ENTERPRISES INC
AC67181,YOUR ACTIONS SPEAK...CHART,78628671810,TREND ENTERPRISES INC
AC67219,BELIEVE YOU CAN ACHIEVE CHART,78628672190,TREND ENTERPRISES INC
AC67233,FEED YOUR BRAIN CHART,78628672336,TREND ENTERPRISES INC
AC67234,B RESPONSIBLE 4 U   CHART,78628672343,TREND ENTERPRISES INC
AC67245,SAVE THE DRAMA FOR YOU LLAMA,78628672459,TREND ENTERPRISES INC
AC67257,PASS WITH HARD WORK POSTER,78628672572,TREND ENTERPRISES INC
AC67259,RED COW,78628672596,TREND ENTERPRISES INC
AC67261,GREEN COW,78628672619,TREND ENTERPRISES INC
AC67165b,BLACK DOG PUPPET,78628671650,TREND ENTERPRISES INC
A0545C,GALT CONNECTA STRAWS,781968500091,SCIENTIFIC EXPLORER -GIDDY UP
A0576L,GALT FIRST OCTONS,781968500107,SCIENTIFIC EXPLORER -GIDDY UP
A2500H,GALT FOLDING TRAMPOLINE,781968500084,"ELMER'S PRODUCTS, INC."
ABC101,ABC 123 PIN,,"PIN-CENTIVES, INC"
AC101,APPLE PIN WITH CROSS,,"PIN-CENTIVES, INC"
AC62449,PEOPLE CAN ALTER THEIR LIVES,42516624493,TREND ENTERPRISES INC
AC62779,WINNERS MAKE THE GRADE,42516627791,TREND ENTERPRISES INC
AC67226,HOW YOU PLAY....CHART,78628672268,TREND ENTERPRISES INC
AC67246,LIFE IS A GREAT BIG CANVAS,78628672466,TREND ENTERPRISES INC
ACT02920,ACTIVE SCREEN,,ACTIVE PEOPLE
ACT41110,ASTROJAX V-MAX,4030544653208,ACTIVE PEOPLE
ACT41155,ASTROJAX MX POP,4030544411556,ACTIVE PEOPLE
ACT43200,KIWIDO W/CD ROM,4030544432025,ACTIVE PEOPLE
ACT43250,KIWIDO CLASSIC,4030544432506,ACTIVE PEOPLE
ADO20103002,ADORA NURSERYTIME BABY,10475103021,ADORA
ADO201220935,ADORA LITTLE PRINCESS LT.SKIN/BLUE EYES,10475209358,ADORA
ADO201220936,PLAYTIME BABY LITTLE PRINCE,,ADORA
ADO201220937,PLAYTIME BABY LITTLE PRINCESS,10475209372,ADORA
ADO201220939,PLAYTIME 3 PC LAYETTE SET PINK,10475209396,ADORA
ADO201220941,PLAYTIME 2PC BUNTING SET PINK,10475209419,ADORA
ADO201220949,PLAYTIME SNUGGLE UP PINK,10475209495,ADORA



